Date,600276,600900,601318,600276_Return,600900_Return,601318_Return
2017/7/14,31.22,14.85,52.77,-0.007975795989029422,-0.023953241022493188,0.021839948526019004
2017/7/17,31.44,14.98,53.9,0.0070220524737201195,0.008716112840364776,0.0211876304973746
2017/7/18,32.13,14.94,53.47,0.02170920556676137,-0.0026737983844018487,-0.008009728954311068
2017/7/19,32.38,14.91,53.84,0.00775077512172162,-0.0020100509280243095,0.006895936375832079
2017/7/20,32.29,15.1,54.01,-0.002783363479305301,0.012662615044231718,0.003152529268327431
2017/7/21,31.99,15.03,51.96,-0.00933423080875695,-0.004646540055995629,-0.038695022802401
2017/7/24,32.09,14.92,52.61,0.003121101160338924,-0.007345608989268282,0.012432023940317283
2017/7/25,32.13,14.89,52.31,0.001245718006001706,-0.002012748079697424,-0.005718658360196027
2017/7/26,32.2,14.97,51.89,0.0021762794225952398,0.005358351735619493,-0.008061464002871777
2017/7/27,32.35,15.01,52.36,0.004647568396547008,0.0026684472138334137,0.00901684766205113
2017/7/28,32.62,15.32,51.89,0.008311576245958019,0.020442518667074694,-0.00901684766205113
2017/7/31,32.82,15.21,52.02,0.006112488469077082,-0.007206058041243413,0.0025021666408573395
2017/8/1,32.88,15.29,54.85,0.0018264845260342888,0.00524591366976912,0.052973926700734086
2017/8/2,32.21,15.48,54.04,-0.020587606844871598,0.012349848220610138,-0.014877673629241528
2017/8/3,32.12,15.49,52.92,-0.0027980742645463685,0.0006457862671962467,-0.020943173845243024
2017/8/4,32.13,14.98,51.94,0.00031128404920632846,-0.03347867633970392,-0.018692133012152556
2017/8/7,32.51,15.02,52.32,0.011757561188046495,0.0026666682469151937,0.007289500914340774
2017/8/8,32.53,14.91,52.45,0.0006150061694460973,-0.007350517559341352,0.00248162769336302
2017/8/9,33.94,14.92,52.06,0.04243151932082023,0.0006704659989678063,-0.007463435275886887
2017/8/10,33.71,15.05,50.73,-0.006799730560110628,0.008675396419270065,-0.025879447987820825
2017/8/11,34.06,15.12,49.58,0.010329145988572819,0.004640379556501983,-0.022929924971553994
2017/8/14,35.22,15.02,50.49,0.03349042783351752,-0.006635724415398503,0.0181877702637796
2017/8/15,34.96,15.09,50.9,-0.007409552280725151,0.004649626443768984,0.008087626685652882
2017/8/16,34.66,15.34,51.21,-0.00861826649987485,0.01643152315935259,0.006071901917982014
2017/8/17,34.35,15.33,51.1,-0.008984265619101706,-0.0006521030553874319,-0.0021503282648001054
2017/8/18,34.43,15.42,53.17,0.002326258682074034,0.005853675251460633,0.039709830306588145
2017/8/21,35.13,15.28,53.03,0.020127188927303585,-0.009120584396808962,-0.0026365363672082864
2017/8/22,34.76,15.26,55.2,-0.010588165880544675,-0.0013097578820633338,0.04010516213401116
2017/8/23,35.0,15.25,55.4,0.006880761092222354,-0.0006555228028903848,0.0036166404701880595
2017/8/24,35.12,15.25,55.12,0.0034227072775023792,0.0,-0.005066967047834936
2017/8/25,35.06,15.36,55.83,-0.0017098892738274252,0.00718722466610533,0.012798732616865927
2017/8/28,34.63,15.28,56.2,-0.012340521078757938,-0.005221943981151611,0.00660539757737677
2017/8/29,34.62,15.4,57.06,-0.0002888086662675704,0.007822725681209342,0.015186588885708119
2017/8/30,34.66,15.15,56.41,0.0011547345393969621,-0.016366977464205235,-0.011456898033468832
2017/8/31,34.71,14.98,56.03,0.0014415455862351045,-0.011284553866305114,-0.006759186174692289
2017/9/1,35.69,14.97,56.17,0.02784270762837382,-0.0006677796575362827,0.002495544967148433
2017/9/4,37.44,14.98,55.15,0.0478691141073222,0.0006677796575362827,-0.018326060844829684
2017/9/5,37.32,14.89,56.29,-0.003210275630248116,-0.006026131393155776,0.020460153776423518
2017/9/6,36.9,15.0,55.4,-0.011317824932661313,0.0073603544062925685,-0.015937305722697026
2017/9/7,37.42,15.1,54.91,0.013993769799462097,0.006644542718668767,-0.008884112462457239
2017/9/8,38.1,15.23,55.02,0.01800896128671159,0.008572423086191439,0.002001274205647441
2017/9/11,37.45,15.3,53.99,-0.01720757216942692,0.004585661491319559,-0.018897911266232637
2017/9/12,37.36,15.22,54.81,-0.002406096602586505,-0.005242475964850168,0.015073814827829768
2017/9/13,37.46,15.19,55.07,0.002673083655300612,-0.0019730358258582825,0.004732444216364762
2017/9/14,37.02,15.04,54.02,-0.011815389870590831,-0.009923998085987762,-0.019250754909920342
2017/9/15,37.33,15.05,53.38,0.008338985781140895,0.0006646726731913688,-0.011918204388091436
2017/9/18,37.56,14.97,53.3,0.00614236141356983,-0.005329792763347996,-0.001499812804579559
2017/9/19,37.67,14.98,53.46,0.002924367363887459,0.0006677796575362827,0.0029973795389741653
2017/9/20,37.74,14.98,53.08,0.0018565182364542743,0.0,-0.007133501246766372
2017/9/21,37.33,15.0,53.82,-0.010923247013911563,0.0013342230131367927,0.013844935834752992
2017/9/22,37.27,15.12,54.04,-0.0016085794353255523,0.007968169649176904,0.004079367793238475
2017/9/25,37.26,15.3,54.16,-0.0002683483177245982,0.01183445764700286,0.0022181155120213347
2017/9/26,37.23,15.25,54.25,-0.0008054772888170803,-0.003273325344969269,0.0016603638165495482
2017/9/27,37.46,15.14,53.6,0.006158809131317167,-0.0072392550441175985,-0.012053924343812472
2017/9/28,38.51,15.14,53.74,0.02764425081087518,0.0,0.0026085351105886723
2017/9/29,38.42,15.07,54.16,-0.0023397904864070895,-0.00463423537089902,0.007785025416674252
2017/10/9,39.71,15.24,54.76,0.0330248878027497,0.011217537620096252,0.011017371816228305
2017/10/10,39.05,15.27,54.92,-0.01676016885746545,0.0019665689720409496,0.002917580479522286
2017/10/11,39.99,15.53,55.31,0.02378654657303203,0.01688351793005438,0.007076143106816701
2017/10/12,40.34,15.35,57.11,0.008714109667339098,-0.011658163127389543,0.032025508670185054
2017/10/13,40.33,15.37,57.08,-0.0002479236407890717,0.0013020835172983247,-0.0005254400681362625
2017/10/16,40.38,15.38,57.17,0.0012390039994145674,0.0006504065269936632,0.00157549266724466
2017/10/17,40.9,15.48,57.94,0.01279545016406436,0.006480904084082972,0.013378707065323958
2017/10/18,40.79,15.91,58.98,-0.0026931097192886,0.027398974188114433,0.017790411045925936
2017/10/19,41.94,16.05,59.59,0.02780307214430655,0.008761007226329554,0.01028937137175756
2017/10/20,41.65,15.96,59.02,-0.006938656860921988,-0.005623257554362215,-0.009611405244093874
2017/10/23,41.74,15.99,59.88,0.0021585330362028365,0.001877934824200178,0.014466190036634075
2017/10/24,41.57,16.23,60.2,-0.0040811483845084595,0.014897854680636868,0.005329792763347996
2017/10/25,42.83,16.29,60.08,0.02986003836273321,0.0036900410874540768,-0.0019953448588960754
2017/10/26,42.48,16.0,61.39,-0.008205414693596147,-0.01796270037417269,0.021569947983524962
2017/10/27,42.23,16.05,63.93,-0.005902507987831207,0.003120127336243783,0.040541779339230644
2017/10/30,41.67,16.07,64.06,-0.01334942351148971,0.0012453301733961197,0.0020314094023765605
